	001A	001B	002B	004B	006A	006B	008A	009A	009B	010A	010B	012A	012B	013A	014B	016B	017B	018B	020B	27S	30S	4S
Manganese ABC transporter, ATP-binding protein SitB	91	40	29	225	185	9	259	589	6	1280	12	2784	901	702	857	441	2016	1309	10	2248	86	37
Manganese ABC transporter, inner membrane permease protein SitC	4	21	18	8	15	2	14	30	12	31	5	88	15	12	32	8	31	12	13	7	2	2
Manganese ABC transporter, inner membrane permease protein SitD	59	23	32	5	34	7	166	108	6	413	5	125	612	447	130	334	1389	1031	6	806	71	64
Manganese ABC transporter, periplasmic-binding protein SitA	3	25	12	2	135	4	75	544	4	737	2	3753	29	20	17	9	104	41	5	85	58	67
Manganese superoxide dismutase (EC 1.15.1.1)	2	4	4	2	220	3	2	144	2	305	6	171	17	3	3	3	19	42	3	2	2	2
Manganese transport protein MntH	552	7864	295	175	8	4	15	23	1843	153	2968	4	36	63	104	11	185	98	224	340	5181	7177
Manganese-dependent inorganic pyrophosphatase (EC 3.6.1.1)	4488	10268	5075	8369	76	3450	2691	1954	4958	197	3173	2301	1412	1956	2616	3443	1138	214	1831	1226	8650	10381
Manganese-dependent protein-tyrosine phosphatase (EC 3.1.3.48)	3	984	260	267	1	2	6	1	1174	2	364	1	2	1	1	2	1	1	35	2	184	1571
Mannitol operon activator, BglG family	0	416	18	0	64	0	3	80	146	36	145	47	88	121	71	15	92	16	0	4	254	285
Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	2	900	70	2	4	2	172	16	95	3	2000	1	1	6	4	4	5	1	0	9	78	235
Mannonate dehydratase (EC 4.2.1.8)	1	8	2	2	50	7	1404	796	6	5418	4	640	1311	3332	1625	949	7563	2764	4	384	4	4
Mannose-1-phosphate guanylyltransferase (GDP) (EC 2.7.7.22)	5	15	14	6	758	5	343	1488	5	2191	5	695	935	909	1344	191	3300	1226	5	787	2	2
Mannose-6-phosphate isomerase (EC 5.3.1.8)	3961	5205	1130	1877	1131	850	952	1524	780	2940	1932	1434	1070	1317	1874	1269	3020	1121	198	563	1743	2519
mannose-specific adhesin FimH	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MazG nucleotide pyrophosphohydrolase	5	11	13	4	1052	6	373	797	3	1420	155	291	637	356	1087	516	1556	936	4	162	4	4
MdtR transcriptional regulator, MarR family	2	1	1	1	1	1	1	5	1	1	1	1	3	1	5	21	1	1	4	1	1	1
Mediator of hyperadherence YidE	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0
Melibiose carrier protein, Na+/melibiose symporter	1	6	1	1	12	1	427	193	1	441	0	387	812	1247	105	179	1711	638	1	5	2	3
Melibiose operon regulatory protein	1080	0	1	44	0	208	0	0	1	0	3	0	0	0	0	2	0	0	10	0	0	0
Membrane alanine aminopeptidase N (EC 3.4.11.2)	3392	6597	1346	2443	118	1020	3324	2837	2730	390	2007	1535	1665	2636	5106	2051	1808	1029	1796	938	2894	8889
Membrane fusion protein of RND family multidrug efflux pump	0	1	1	1	658	3	1	16	1	25	1	202	1508	1	1	1	1	2	2	1	1	1
Membrane protein associated with methylmalonyl-CoA decarboxylase	0	0	0	0	39	0	1	1	0	12	0	1	1	0	1	0	0	0	0	1	0	0
Membrane protein containing HD superfamily hydrolase domain, YQFF ortholog	2	3	3	1	525	1	31	476	1	326	1	245	119	144	206	40	380	185	1	125	1	1
Membrane Protein Functionally coupled to the MukBEF Chromosome Partitioning Mechanism	1060	0	1	41	0	160	0	0	2	0	1	0	0	1	1	2	0	1	6	1	0	3
Membrane protein YcjF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Membrane proteins related to metalloendopeptidases	5	10	5	7	418	2	2316	1487	3	371	7	841	6	642	1890	2802	2231	1409	7	612	2	1
Membrane transporter HdeD, H-NS repressed	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Membrane-associated zinc metalloprotease	4205	9481	6412	7424	1415	3257	4334	3682	6935	2195	3771	2418	2372	2614	3892	4978	4393	1740	3707	2393	4489	5663
Membrane-bound lytic murein transglycosylase A precursor (EC 3.2.1.-)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Membrane-bound lytic murein transglycosylase B precursor (EC 3.2.1.-)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Membrane-bound lytic murein transglycosylase C precursor (EC 3.2.1.-)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Membrane-bound lytic murein transglycosylase D precursor (EC 3.2.1.-)	4	5	2	5	465	2	13	157	2	87	2	120	75	15	193	18	118	29	6	6	1	1
Membrane-bound lytic murein transglycosylase E (EC 3.2.1.-)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Menaquinone biosynthesis related protein, putative DHNA-CoA thioesterase	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Menaquinone-specific isochorismate synthase (EC 5.4.4.2)	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mercuric ion reductase (EC 1.16.1.1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0
Meso-diaminopimelate D-dehydrogenase (EC 1.4.1.16)	27	57	22	28	717	23	2853	4512	12	12135	20	1758	3925	6131	10629	1456	18462	11412	13	10231	10	4
Metal-dependent hydrolase COG0491 with rhodanese-homology domain (RHOD)	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	2	0	0	0	0	0
Metal-dependent hydrolases of the beta-lactamase superfamily I	2	3	3	2	68	2	42	68	1	582	2	12	67	103	179	46	473	261	2	235	4	3
Metallo-beta-lactamase family protein, RNA-specific	2	1	0	0	5	1	4	4	1	4	1	3	2	4	1	1	8	2	2399	0	0	133
Methionine ABC transporter ATP-binding protein	847	808	1007	1748	4394	1115	3553	5674	783	5911	411	6486	3754	3574	7130	4350	20764	4076	1004	2619	652	803
Methionine ABC transporter permease protein	290	777	326	631	952	438	1171	2287	593	3674	480	1355	983	994	3550	610	1741	645	792	533	268	449
Methionine ABC transporter substrate-binding protein	983	542	288	591	983	211	6426	2174	315	717	278	1049	2148	2165	12520	1111	8147	2045	895	903	526	767
Methionine aminopeptidase (EC 3.4.11.18)	3461	3655	6650	6875	17206	2773	13439	16825	1831	13142	3086	11524	12551	6893	14607	9852	17719	8551	2076	9346	4007	4013
Methionine gamma-lyase (EC 4.4.1.11)	3	8	6	1	540	2	231	1060	4	1889	6	1435	1277	864	313	582	1347	3154	3	110	1	1
Methionine repressor MetJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Methionine synthase activation domain (EC 2.1.1.13)	3	1	2	1	96	4	186	98	1	52	1	112	316	92	179	205	307	151	1	150	1	1
Methionine transporter MetT	2	8	4	2	280	3	242	321	1	580	3	230	104	261	437	242	662	354	2	408	2	1
Methionyl-tRNA formyltransferase (EC 2.1.2.9)	3553	8999	3612	4744	2328	2310	3929	3633	3891	1531	3201	3228	3378	2435	3321	4149	3947	1873	1297	1230	4957	5564
Methionyl-tRNA synthetase (EC 6.1.1.10)	2799	5348	4427	5160	2574	1718	5430	5048	3440	6095	2002	4753	4415	3961	7891	4362	9397	4712	2154	4648	2006	2495
Methionyl-tRNA synthetase-related protein 2	3	0	1	0	2	0	1	2	0	1	0	0	3	0	3	2	3	0	0	4	0	0
Methyl-accepting chemotaxis protein I (serine chemoreceptor protein)	7	17	3	5	266	4	47	356	16	3130	1	1719	5	6	4	29	17	16	50	1	0	0
Methyl-accepting chemotaxis protein III (ribose and galactose chemoreceptor protein)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Methyl-accepting chemotaxis protein IV (dipeptide chemoreceptor protein)	0	0	0	0	0	0	4	2	0	0	0	1	9	0	1	4	61	23	0	0	0	0
Methyl-directed repair DNA adenine methylase (EC 2.1.1.72)	3	8	11	38	565	3	554	554	2	1436	7	269	338	213	511	260	1155	115	623	45	10	2
Methylase of polypeptide chain release factors	0	0	0	0	1	0	0	0	1	2	0	0	0	0	2	0	0	1	0	0	0	0
Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)	4073	4389	232	155	139	475	510	257	2225	93	1380	232	26	117	282	436	756	319	51	60	1494	3504
Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)	121	14698	556	18	1502	22	4916	2337	8792	5395	6629	1706	4851	1877	5177	2338	8557	4371	18	1651	5921	7098
Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5) / Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	2838	605	2152	3351	750	1796	1546	1141	52	251	14	1115	545	902	936	1687	722	125	5707	399	220	237
Methylglyoxal synthase (EC 4.2.3.3)	2	1	1	1	7	1	1	1	2	1	1	1	1	5	1	1	3	8	1	1	1	1
Methylisocitrate lyase (EC 4.1.3.30)	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylmalonate-semialdehyde dehydrogenase [inositol] (EC 1.2.1.27)	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4	1	1	0	0
Methylmalonyl-CoA decarboxylase, alpha chain (EC 4.1.1.41)	25	49	24	18	1586	20	3137	3432	18	10802	17	2827	2406	4542	7274	2102	13814	7021	20	4386	5	2
Methylmalonyl-CoA decarboxylase, beta chain (EC 4.1.1.41)	1	2	1	1	22	1	4	11	1	27	1	38	6	1	4	1	9	7	1	1	1	1
Methylmalonyl-CoA epimerase (EC 5.1.99.1)	5	5	5	4	2762	5	5	100	8	198	5	1264	10969	4	6	9	13	5	1	5	1	3
Methylmalonyl-CoA mutase (EC 5.4.99.2)	2	3	1	1	90	1	5	10	1	50	1	4	7	3	12	3	11	7	2	1	1	1
Methylthioadenosine deaminase	1	2	1	1	768	2	4	218	1	34	2	264	1055	119	25	5	33	13	1	1	1	1
Mevalonate kinase (EC 2.7.1.36)	561	965	2183	2495	498	744	1056	1069	634	308	340	743	1094	352	595	1356	1049	841	537	295	772	547
MFS superfamily export protein YceL	580	599	54	268	1	65	3	8	300	7	302	3	2	10	7	6	12	3	398	4	470	915
Mg-protoporphyrin IX monomethyl ester oxidative cyclase (anaerobic) (EC 1.14.13.81)	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
Mgl repressor and galactose ultrainduction factor GalS, HTH-type transcriptional regulator	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MiaB family protein, possibly involved in tRNA or rRNA modification	19	14	10	6	790	4	1421	954	5	756	7	822	1444	649	1440	1543	2431	1093	8	681	3	3
Mitochondrial processing peptidase-like protein (EC 3.4.24.64)	3	285	10	3	385	5	259	278	90	3974	78	34	672	1103	1493	312	3221	1943	3	1489	1	1
Mlc, transcriptional repressor of MalT (the transcriptional activator of maltose regulon) and manXYZ operon	39	3	2	3	487	2	77	640	1	75	1	248	430	112	175	169	561	205	1	7	1	1
Mlr7403 protein	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MltA-interacting protein MipA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Mn-dependent transcriptional regulator MntR	14	26	13	16	49	3	23	108	26	112	4	59	18	13	26	37	103	46	21	17	13	12
Molybdate-binding domain of ModE	2	14	6	2	14	2	245	181	2	714	2	48	49	50	85	21	121	182	4	214	2	2
Molybdenum ABC transporter, periplasmic molybdenum-binding protein ModA (TC 3.A.1.8.1)	0	0	1	0	2	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0
Molybdenum cofactor biosynthesis protein MoaA	1	1	1	1	1	1	1	1	5	2	1	2	1	1	2	1	1	2	1	1	1	1
Molybdenum cofactor biosynthesis protein MoaB	9	9	4	2	567	6	1956	945	2	527	4	1095	1705	1039	1200	2123	1904	1142	10	495	1	3
Molybdenum cofactor biosynthesis protein MoaC	1	1	1	1	7	1	2	4	3	11	6	7	1	1	1	6	1	1	1	1	1	1
Molybdenum cofactor biosynthesis protein MoaD	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	1
Molybdenum cofactor biosynthesis protein MoaE	0	1	1	1	0	0	1	1	2	1	1	1	1	1	1	2	1	1	0	1	1	1
Molybdenum transport ATP-binding protein ModC (TC 3.A.1.8.1)	1	2	1	1	7	2	1	5	1	433	1	1	3	1	4	1	1	2	1	2	2	2
Molybdenum transport system permease protein ModB (TC 3.A.1.8.1)	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
Molybdopterin biosynthesis Mog protein, molybdochelatase	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Molybdopterin biosynthesis protein MoeA	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
Molybdopterin biosynthesis protein MoeB	0	1	1	1	4	1	5	112	0	31	1	1	3	1	1	20	10	1	0	8	1	1
Molybdopterin-guanine dinucleotide biosynthesis protein MobA	5	0	1	1	339	1	2	14	4	17	2	269	917	0	2	5	8	2	2	0	0	0
Molybdopterin-guanine dinucleotide biosynthesis protein MobB	2	5	5	3	87	2	9	50	2	16	2	32	85	5	28	2	123	30	3	4	2	2
Monofunctional biosynthetic peptidoglycan transglycosylase (EC 2.4.2.-)	9	10	7	5	247	9	333	871	6	2367	7	108	664	841	1445	204	2892	1262	5	960	4	2
Monogalactosyldiacylglycerol synthase precursor	0	1	0	2	942	0	7	701	1	62	1	382	75	146	103	37	126	11	0	0	0	0
Monoglyceride lipase (EC 3.1.1.23)	2	6	1152	582	380	506	990	1163	27	55	4	725	328	344	1682	714	182	31	6	207	80	15
MotA/TolQ/ExbB proton channel family protein	9	21	11	13	3431	6	1222	473	8	1586	10	2378	2294	1246	495	439	3253	675	7	2434	6	5
MoxR-like ATPase in aerotolerance operon	90	20	21	12	1730	17	3049	1444	10	3789	9	687	1611	959	3209	1257	4578	2576	14	3000	4	6
MreB-like protein (Mbl protein)	9	22	6	5	1221	3	1077	742	76	341	4	1000	2315	383	890	1160	1316	773	7	236	2	2
MSM (multiple sugar metabolism) operon regulatory protein	825	84	28	1553	294	39	2753	553	44	1452	4	614	1370	1559	1499	466	2096	1145	9	1298	20	28
Mucin-desulfating sulfatase MdsA precursor (EC 3.1.6.14)	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Muconate cycloisomerase (EC 5.5.1.1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps	23	393	81	25	1063	13	554	1780	212	3385	152	869	748	761	1000	508	3251	994	342	1321	300	305
Multidrug efflux transporter MdtP	3086	3833	2197	4599	21	1786	1189	843	6534	38	2512	689	901	586	451	1196	973	136	900	744	1193	1394
Multidrug resistance efflux pump PmrA	274	4	0	27	0	43	0	0	2	0	1	1	0	0	0	0	0	0	6	0	0	0
Multidrug resistance transporter, Bcr/CflA family	1	2	1	1	1	1	1	1	1	2	4	1	1	1	2	1	2	2	5	1	1	1
Multidrug transporter MdtD	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0
Multidrug-efflux transporter, major facilitator superfamily (MFS) (TC 2.A.1)	545	639	42	123	26	34	186	67	172	32	267	45	3	55	147	109	157	68	110	68	148	363
Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)	3576	1074	1971	2615	1409	1571	4369	3137	1419	2567	496	2223	3326	2477	4507	3812	7653	4290	1492	1846	482	529
Multiple antibiotic resistance protein MarR	2	3	3	1	1	1	1	3	1	1	1	1	1	1	3	1	5	1	1	3	3	1
Multiple sugar ABC transporter, ATP-binding protein	18104	21895	34584	40531	1260	24062	27224	14365	7727	16305	12498	31160	9050	23407	21675	42557	11402	1774	9183	20439	12437	11777
Multiple sugar ABC transporter, membrane-spanning permease protein MsmF	127	313	33	41	259	12	4933	1372	159	2462	282	1446	2567	1969	1486	2411	8305	2835	189	1191	262	256
Multiple sugar ABC transporter, membrane-spanning permease protein MsmG	1	333	3	28	3	1	3	3	191	1	288	5	11	2	2	3	2	1	95	1	335	297
Multiple sugar ABC transporter, substrate-binding protein	966	526	435	72	1978	60	35972	7013	206	18510	511	6890	27222	8780	15404	22707	48969	23569	173	6715	184	141
Muramoyltetrapeptide carboxypeptidase (EC 3.4.17.13)	3	91	30	635	7	658	39	26	4	138	1	577	246	22	784	3	6	13	2112	65	25	34
Murein-DD-endopeptidase (EC 3.4.99.-)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mutator mutT protein (7,8-dihydro-8-oxoguanine-triphosphatase) (EC 3.6.1.-)	1518	7312	319	573	1370	154	503	756	1871	534	2224	651	637	177	804	367	699	251	104	145	810	942
MutS domain protein, family 2	0	1	0	0	44	0	1	0	0	19	0	1	3	1	1	1	2	1	0	3	0	0
MutS-related protein, family 1	1	3	1	1	118	1	57	63	1	229	1	23	65	52	153	30	339	144	1	82	5	2
Myo-inositol 2-dehydrogenase (EC 1.1.1.18)	1	3	1	8	31	1	2	33	13	8	1	14	64	58	3	2	77	6	18	15	11	7
Myo-inositol 2-dehydrogenase 1 (EC 1.1.1.18)	1	1	1	1	12	1	2	16	1	2	1	3	2	1	6	3	7	4	1	2	2	1
N-3-oxooctanoyl-L-homoserine lactone quorum-sensing transcriptional activator	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
N-Acetyl-D-glucosamine ABC transport system, permease protein 1	2073	4621	2261	3753	65	1249	1906	4945	1497	1035	1643	1782	7273	1840	2076	4676	8905	10034	1723	1445	4957	2667
N-Acetyl-D-glucosamine ABC transport system, permease protein 2	105	57	37	33	43	22	221	1476	30	543	17	144	2764	44	129	922	4877	5602	21	505	2	1
N-Acetyl-D-glucosamine ABC transport system, sugar-binding protein	304	11	24	4	136	7	562	2585	6	408	5	241	1087	342	640	796	1803	979	8	633	2	2
N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	0	6	1	1	46	1	4	44	0	65	0	159	10	6	1	3	18	9	0	1	1	1
N-acetyl-L,L-diaminopimelate aminotransferase (EC 2.6.1.-)	43	6202	2336	1544	1133	1092	1477	2600	3187	176	774	2054	616	1332	1533	1613	663	181	18	285	2908	2339
N-acetyl-L,L-diaminopimelate deacetylase (EC 3.5.1.47)	108	2038	1850	1431	1924	748	1220	2895	804	1074	21	1909	957	915	1634	1207	2616	867	7	459	544	779
N-acetylgalactosamine 6-sulfate sulfatase (GALNS)	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
N-acetylgalactosamine-6-phosphate deacetylase (EC 3.5.1.25)	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0
N-acetylglucosamine kinase of eukaryotic type (EC 2.7.1.59)	5	4	2	1	66	1	1	21	1	35	1	30	8	4	47	2	4	2	1	4	1	1
N-acetylglucosamine regulated methyl-accepting chemotaxis protein	1	3	1	1	21	1	1	1	1	1	1	7	19	1	1	1	1	1	1	1	1	1
N-acetylglucosamine related transporter, NagX	0	1	0	0	22	0	0	3	0	13	0	5	3	3	29	0	0	0	0	0	0	0
N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)	6267	21592	4760	6562	3623	2852	6404	10151	5274	2580	5275	4377	4544	4133	5008	5690	7375	3759	2587	3161	6761	7110
N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	3236	1445	5008	2989	789	1573	1609	3310	1313	994	753	5599	1040	1530	1669	11907	1327	840	1200	414	1349	758
N-acetylglucosamine-6P-responsive transcriptional repressor NagC, ROK family	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
N-acetylglucosamine-regulated outer membrane porin	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
N-acetylglutamate synthase (EC 2.3.1.1)	0	4	2	1	102	1	2	72	0	97	1	324	11	1	1	3	21	14	1	0	0	0
N-acetylhexosamine 1-kinase	3	4	3	3	758	2	25	295	1	1007	3	232	269	182	630	58	1099	338	2	22	1	1
N-acetylmannosamine kinase (EC 2.7.1.60)	1797	1973	123	1015	28	140	114	72	991	28	900	61	400	22	89	215	819	133	1705	22	615	1215
N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9)	777	218	31	300	4	60	17	4	1062	3	1313	2	5	2	5	2	4	3	21	16	1147	818
N-acetylmannosaminyltransferase (EC 2.4.1.187)	527	2980	1490	2730	658	863	1667	1208	991	232	1130	1237	1455	623	1541	2104	1736	707	2383	679	904	1233
N-acetylmuramic acid 6-phosphate etherase (EC 4.2.-.-)	1389	4041	178	2137	148	2769	23	54	1488	57	2889	105	43	13	104	12	35	6	26	5	798	812
N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	221	1134	753	1030	4221	598	579	2224	577	1397	445	1502	1140	874	1655	753	2028	1018	634	498	984	2544
N-Acetylneuraminate cytidylyltransferase (EC 2.7.7.43)	1	713	59	612	64	1	1	11	191	69	207	35	6	8	55	2	17	3	14	1	313	327
N-acetylneuraminate lyase (EC 4.1.3.3)	42	12594	72	4	105	5	17	379	2755	12	3385	17	141	7	36	4	185	12	2	8	2828	5634
N-acetylneuraminate synthase (EC 2.5.1.56)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	1	0	0	0
N-acylglucosamine 2-epimerase (EC 5.1.3.8)	0	3	3	2	82	0	7	254	1	33	0	36	63	12	41	1	140	13	0	8	1	1
N-carbamoylputrescine amidase (3.5.1.53)	1	1	4	1	296	3	92	288	1	844	2	70	241	204	522	54	849	337	2	312	1	1
N-carbamoylsarcosine amidase (EC 3.5.1.59)	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
N-methylhydantoinase (ATP-hydrolyzing) (EC 3.5.2.14)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0
N-Ribosylnicotinamide phosphorylase (EC 2.4.2.1)	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
N-succinyl-L,L-diaminopimelate aminotransferase alternative (EC 2.6.1.17)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Na(+) H(+) antiporter subunit C (TC 2.A.63.1.3)	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1
Na(+) H(+) antiporter subunit D	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Na(+)-translocating NADH-quinone reductase subunit A (EC 1.6.5.-)	2	6	3	4	1023	2	300	892	2	3832	1	340	760	1106	1947	187	2920	1293	2	1356	1	1
Na(+)-translocating NADH-quinone reductase subunit B (EC 1.6.5.-)	4	14	9	3	162	3	329	987	1	2785	3	86	602	922	1439	185	3462	1377	3	1957	3	1
Na(+)-translocating NADH-quinone reductase subunit C (EC 1.6.5.-)	8	5	6	3	192	3	238	570	5	1613	2	51	479	498	1007	217	2595	1365	2	902	2	2
Na(+)-translocating NADH-quinone reductase subunit D (EC 1.6.5.-)	5	11	3	6	84	6	252	663	4	4247	3	51	594	1205	1806	219	2929	1541	5	2125	2	2
Na(+)-translocating NADH-quinone reductase subunit E (EC 1.6.5.-)	5	9	18	26	270	7	285	580	5	3170	6	479	598	1001	1189	218	3292	1482	4	1978	4	3
Na(+)-translocating NADH-quinone reductase subunit F (EC 1.6.5.-)	3	14	4	6	617	5	289	818	9	3273	5	234	694	966	1652	243	3271	1607	4	2369	4	4
Na+/H+ antiporter NhaA type	45	102	28	2	122	3	143	204	42	659	65	71	726	294	441	452	1780	1106	4	315	3	2
Na+/H+ antiporter NhaB	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Na+/H+ antiporter NhaD type	2	3	6	1	228	3	113	282	1	1061	3	101	260	365	597	88	976	477	2	505	2	2
Na+/H+-dicarboxylate symporters	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NAD kinase (EC 2.7.1.23)	1322	1326	4214	6738	876	2748	3453	2249	683	988	494	2420	2310	1702	2734	2626	2538	1302	1987	1097	1939	1854
NAD synthetase (EC 6.3.1.5)	2021	5892	5679	6585	121	3925	2454	1787	2820	88	1715	1837	1259	1218	1231	3701	1051	180	1820	663	2493	3927
NAD-dependent epimerase/dehydratase	5295	1	1	290	4	1990	1	3	2	6	2	1	2	5	2	6	1	1	79	10	17	9
NAD-dependent formate dehydrogenase alpha subunit	0	0	1	1	15	0	2	39	0	19	0	7	5	16	10	11	35	8	0	0	0	0
NAD-dependent formate dehydrogenase gamma subunit	0	0	0	0	2	0	2	3	0	1	0	0	1	0	2	0	0	1	0	1	1	1
NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	39162	229445	88463	87058	57613	45675	61131	105744	79044	157713	69524	139892	66568	59877	82500	126648	142116	63266	29938	132998	343692	379913
NAD-dependent malic enzyme (EC 1.1.1.38)	4	8	21	3	334	2	257	146	2	127	118	179	315	85	163	274	432	308	94	92	3	2
NAD-dependent protein deacetylase of SIR2 family	1632	3380	196	1061	310	431	739	748	1227	235	1411	313	581	194	1220	391	792	620	1981	220	1419	1736
NAD-reducing hydrogenase subunit HoxE (EC 1.12.1.2)	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0
NAD-reducing hydrogenase subunit HoxF (EC 1.12.1.2)	0	0	0	0	16	0	2	6	0	4	0	5	5	1	4	11	9	1	0	0	0	0
NAD-reducing hydrogenase subunit HoxH (EC 1.12.1.2)	1	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0
NAD-specific glutamate dehydrogenase (EC 1.4.1.2)	62	191	98	57	11083	56	2225	5346	32	48560	669	33422	17750	10827	15086	8172	63561	24268	37	2859	11	5
NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2)	1	1	1	1	110	1	1	4	1	36	1	7	2	1	1	2	3	1	1	2	1	1
NAD(P) transhydrogenase subunit beta (EC 1.6.1.2)	1	1	2	1	9	1	1	1	1	5	1	1	1	1	44	1	2	1	1	1	1	1
NAD(P)-dependent glyceraldehyde 3-phosphate dehydrogenase archaeal (EC 1.2.1.59)	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
NAD(P)H oxidoreductase YRKL (EC 1.6.99.-)	669	1	1	12	34	28	7	7	1	14	1	9	9	6	21	4	50	18	2	5	6	6
NAD(P)H-flavin reductase (EC 1.5.1.29) (EC 1.16.1.3)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
NADH dehydrogenase (EC 1.6.99.3)	8099	3429	184	1526	427	1728	906	1431	955	2677	1436	866	1345	1070	1897	1063	7869	2423	1176	1702	2533	2953
NADH dehydrogenase (EC 1.6.99.3) in cluster with putative pheromone precursor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	10	14
NADH oxidoreductase hcr (EC 1.-.-.-)	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NADH peroxidase (EC 1.11.1.1)	129	132	11683	18787	10751	9062	25841	26114	240	28209	63	25483	10777	9444	12272	26425	25536	18983	62	5060	605	101
